"model","mode","threads","trial","warmup","temp_start_c","temp_end_c","started","ended","pp_tokens","tg_tokens","pp_seconds","pp_tok_s","tg_seconds","tg_tok_s"
"gemma-4-E2B-it-Q8_0","qmx","1","1","True","36.8","36.2","2026-08-27T20:50:41.2309837+05:30","2026-08-27T20:51:12.3142118+05:30","128","128","5.182422","24.698875","8.926872","14.338729"
"gemma-4-E2B-it-Q8_0","neon","1","1","True","36.3","36.5","2026-08-27T20:51:12.5347020+05:30","2026-08-27T20:51:52.9882490+05:30","128","128","15.916370","8.042034","19.761446","6.477259"
"gemma-4-E2B-it-Q8_0","qmx","1","2","False","36.5","36.9","2026-08-27T20:51:53.1163881+05:30","2026-08-27T20:52:41.3956953+05:30","128","128","5.716006","22.393259","8.639753","14.815238"
"gemma-4-E2B-it-Q8_0","neon","1","2","False","36.9","37.4","2026-08-27T20:52:41.5315721+05:30","2026-08-27T20:53:22.1252238+05:30","128","128","15.932695","8.033794","19.771955","6.473816"
"gemma-4-E2B-it-Q8_0","qmx","1","3","False","37.4","37.5","2026-08-27T20:53:22.2501941+05:30","2026-08-27T20:53:55.4527938+05:30","128","128","5.192520","24.650843","8.773101","14.590053"
"gemma-4-E2B-it-Q8_0","neon","1","3","False","37.5","37.6","2026-08-27T20:53:55.5702349+05:30","2026-08-27T20:54:36.0661785+05:30","128","128","15.939179","8.030526","19.768152","6.475061"
"gemma-4-E2B-it-Q8_0","qmx","1","4","False","37.6","37.8","2026-08-27T20:54:36.1909894+05:30","2026-08-27T20:55:08.1487688+05:30","128","128","5.162865","24.792435","8.522524","15.019025"
"gemma-4-E2B-it-Q8_0","neon","1","4","False","37.8","37.8","2026-08-27T20:55:08.2762021+05:30","2026-08-27T20:55:48.4270791+05:30","128","128","15.931554","8.034370","19.750835","6.480739"
"gemma-4-E2B-it-Q8_0","qmx","4","1","True","37.8","37.9","2026-08-27T20:55:48.5486301+05:30","2026-08-27T20:56:17.0436363+05:30","128","128","1.945490","65.793190","9.280970","13.791662"
"gemma-4-E2B-it-Q8_0","neon","4","1","True","37.9","38.8","2026-08-27T20:56:17.1791488+05:30","2026-08-27T20:56:46.6163066+05:30","128","128","5.703076","22.444029","19.801214","6.464250"
"gemma-4-E2B-it-Q8_0","qmx","4","2","False","38.8","38.7","2026-08-27T20:56:46.7446312+05:30","2026-08-27T20:57:26.5537427+05:30","128","128","2.895206","44.211018","19.050430","6.719008"
"gemma-4-E2B-it-Q8_0","neon","4","2","False","38.7","39","2026-08-27T20:57:26.6984415+05:30","2026-08-27T20:57:47.6959842+05:30","128","128","6.815207","18.781528","8.761643","14.609132"
"gemma-4-E2B-it-Q8_0","qmx","4","3","False","39","39.2","2026-08-27T20:57:47.8297945+05:30","2026-08-27T20:58:28.7978611+05:30","128","128","2.955827","43.304295","18.472626","6.929172"
"gemma-4-E2B-it-Q8_0","neon","4","3","False","39.2","39.5","2026-08-27T20:58:28.9385116+05:30","2026-08-27T20:58:58.4312030+05:30","128","128","5.826214","21.969671","20.127172","6.359562"
"gemma-4-E2B-it-Q8_0","qmx","4","4","False","39.5","39.4","2026-08-27T20:58:58.5523851+05:30","2026-08-27T20:59:44.0562499+05:30","128","128","4.690353","27.290058","20.586586","6.217641"
"gemma-4-E2B-it-Q8_0","neon","4","4","False","39.4","39.5","2026-08-27T20:59:44.2094253+05:30","2026-08-27T21:00:04.0531602+05:30","128","128","6.363490","20.114748","8.943141","14.312645"
